"vertex_id","egoid","size","edges","density","clustering","betweenness_centralization","degree_centralization","diameter","modularity","n_components","max_comp_size","prop_lcc","gender_1","race_1","parentincome_1","RegionUS","Extraversion_1","Openness_1","Agreeableness_1","Conscientiousness_1","Neuroticism_1","cluster_km"
10115,10115,8,16,0.571428571428571,1,0,0.142857142857143,1,0.1171875,2,6,0.75,"Male","African-American","$100,000 - $149,999","",3.25,3.3,4.7777777,4.6666665,1.75,3
10153,10153,31,84,0.172043010752688,0.6,0.263521552308909,0.294623655913978,4,0.44984375,7,25,0.806451612903226,"Male","White","$250,000 or more","East North Central",3.125,3,4.2222223,3.8888888,1.75,0
10237,10237,43,223,0.235880398671096,0.596168294515402,0.340188309805791,0.502214839424142,3,0.408571932376733,1,43,1,"Female","White","$150,000 - $199,999","South Atlantic",2.75,3.0999999,3.7777777,3.3333333,2.875,0
10469,10469,27,98,0.279202279202279,0.818823529411765,0.354497041420118,0.259259259259259,5,0.343763015410246,1,27,1,"Female","African-American","$100,000 - $149,999","East North Central",3.375,3,4.3333335,2.8888888,2.625,2
10547,10547,7,13,0.619047619047619,0.767441860465116,0.288888888888889,0.214285714285714,3,0.0473372781065089,1,7,1,"Male","White","$75,000 - $99,999","New England",3.75,3,3.3333333,3.3333333,3,3
10732,10732,22,224,0.731601731601732,0.817660550458716,0.0305427779577439,0.268398268398268,2,0.0828402366863905,1,22,1,"Female","White","$200,000 - $249,999","East North Central",4.125,3.3,4.3333335,4.1111112,3.125,3
11002,11002,41,368,0.391463414634146,0.865384615384615,0.461516272189349,0.183536585365854,4,0.458026416669093,1,41,1,"Male","White","$25,000 - $49,999","East North Central",3.125,3.2,5,4.5555553,1.375,2
11128,11128,18,71,0.457516339869281,0.686688311688312,0.187283737024221,0.42483660130719,3,0.161122448979592,1,18,1,"Male","White","$200,000 - $249,999","East North Central",4.125,4,4.3333335,3.3333333,2.25,1
11148,11148,15,71,0.657142857142857,0.84390243902439,0.179748822605965,0.342857142857143,2,0.192816635160681,1,15,1,"Male","White","$50,000 - $74,999","East South Central",3.5,3.4000001,4.1111112,3.8888888,2.625,3
11402,11402,55,213,0.133333333333333,0.622841965471448,0.173697384199947,0.385185185185185,4,0.400214263850628,6,40,0.727272727272727,"Male","African-American","$100,000 - $149,999","Mountain",2.5,3.4000001,3.6666667,3.6666667,2.625,0
