"cluster_km","parentincome_1","X0"
0,"$100,000 - $149,999",38
0,"$150,000 - $199,999",16
0,"$200,000 - $249,999",20
0,"$25,000 - $49,999",12
0,"$250,000 or more",43
0,"$50,000 - $74,999",18
0,"$75,000 - $99,999",12
0,"less than $25,000",7
1,"$100,000 - $149,999",37
1,"$150,000 - $199,999",30
1,"$200,000 - $249,999",21
1,"$25,000 - $49,999",18
1,"$250,000 or more",84
1,"$50,000 - $74,999",23
1,"$75,000 - $99,999",23
1,"less than $25,000",15
2,"$100,000 - $149,999",40
2,"$150,000 - $199,999",15
2,"$200,000 - $249,999",10
2,"$25,000 - $49,999",7
2,"$250,000 or more",35
2,"$50,000 - $74,999",10
2,"$75,000 - $99,999",12
2,"less than $25,000",7
3,"$100,000 - $149,999",25
3,"$150,000 - $199,999",15
3,"$200,000 - $249,999",13
3,"$25,000 - $49,999",5
3,"$250,000 or more",37
3,"$50,000 - $74,999",6
3,"$75,000 - $99,999",13
3,"less than $25,000",4
